Runyoro,English
I don't improve a little,Tinnyangara
to snatch,Okunyankura
I snatch,Nnyankura
he/she snatches,Anyankura
I have snatched,Nnyankuzire
snatch!,Nyankura
I don't snatch,Tinnyankura
to be deliberately unaudible,Okunyanyaata
I be deliberately unaudible,Nnyanyaata
he/she be deliberately unaudibles,Anyanyaata
I have be deliberately unaudibled,Nnyanyaasire
be deliberately unaudible!,Nyanyaata
I don't be deliberately unaudible,Tinnyanyaata
to shake something lightly,Okunyeenya
I shake something lightly,Nnyeenya
he/she shake something lightlies,Anyeenya
I have shake something lightlied,Nnyeenyire
shake something lightly!,Nyeenya
I don't shake something lightly,Tinnyeenya
to go a slope,Okunyegera
I go a slope,Nnyegera
he/she go a slopes,Anyegera
I have go a sloped,Nnyegezire
go a slope!,Nyegera
I don't go a slope,Tinnyegera
to move slowly,Okunyimbuka
I move slowly,Nnyimbuka
he/she move slowlies,Anyimbuka
I have move slowlied,Nnyimbukire
move slowly!,Nyimbuka
I don't move slowly,Tinnyimbuka
to pay attention,Okunyohoka
I pay attention,Nnyohoka
he/she pay attentions,Anyohoka
I have pay attentioned,Nnyohokire
pay attention!,Nyohoka
I don't pay attention,Tinnyohoka
to have goose-flesh,Okunyohwa
I have goose-flesh,Nnyohwa
he/she have goose-fleshes,Anyohwa
I have have goose-fleshed,Nnyohwire
have goose-flesh!,Nyohwa
I don't have goose-flesh,Tinnyohwa
to crawl,Okunyongota
I crawl,Nnyongota
he/she crawls,Anyongota
I have crawled,Nnyongosire
crawl!,Nyongota
I don't crawl,Tinnyongota
to pull,Okunyurura
I pull,Nnyurura
he/she pulls,Anyurura
I have pulled,Nnyuruzire
pull!,Nyurura
I don't pull,Tinnyurura
to make friends,Okunywana
I make friends,Nnywana
he/she make friendses,Anywana
I have make friendsed,Nnywanire
make friends!,Nywana
I don't make friends,Tinnywana
to score a goal,Okunyweisa
I score a goal,Nnyweisa
he/she score a goals,Anyweisa
I have score a goaled,Nnyweisire
score a goal!,Nyweisa
I don't score a goal,Tinnyweisa
to guess,Okupaaza
I guess,Mpaaza
he/she guesses,Apaaza
I have guessed,Mpaazire
guess!,Paaza
I don't guess,Timpaaza
to pile,Okupanga
I pile,Mpanga
he/she piles,Apanga
I have piled,Mpangire
pile!,Panga
I don't pile,Timpanga
to investigate,Okupeerereza
I investigate,Mpeerereza
he/she investigates,Apeerereza
I have investigated,Mpeererezire
investigate!,Peerereza
I don't investigate,Timpeerereza
to shiver,Okupiipa
I shiver,Mpiipa
he/she shivers,Apiipa
I have shivered,Mpiipire
shiver!,Piipa
I don't shiver,Timpiipa
to refuse,Okupinga
I refuse,Mpinga
he/she refuses,Apinga
I have refused,Mpingire
refuse!,Pinga
I don't refuse,Timpinga
to be proud,Okuponga
I be proud,Mponga
he/she be prouds,Aponga
I have be prouded,Mpongire
be proud!,Ponga
I don't be proud,Timponga
to stab,Okupukura
I stab,Mpukura
he/she stabs,Apukura
I have stabed,Mpukuzire
stab!,Pukura
I don't stab,Timpukura
to make a will,Okuraama
I make a will,Ndaama
he/she make a wills,Araama
I have make a willed,Ndaamire
make a will!,Raama
I don't make a will,Tindaama
to brag,Okuraata
I brag,Ndaata
he/she brags,Araata
I have braged,Ndaasire
brag!,Raata
I don't brag,Tindaata
(slang for) to beat,Okuraatuura
to indulge in prostitution,Okuraaya
I indulge in prostitution,Ndaaya
he/she indulge in prostitutions,Araaya
I have indulge in prostitutioned,Ndaayire
indulge in prostitution!,Raaya
I don't indulge in prostitution,Tindaaya
to fallow,Okuraaza entabire
I fallow,Ndaaza entabire
he/she fallows,Araaza entabire
I have fallowed,Ndaaza entabireire
fallow!,Raaza entabire
I don't fallow,Tindaaza entabire
to put off fire,Okuraaza
I put off fire,Ndaaza
he/she put off fires,Araaza
I have put off fired,Ndaazire
put off fire!,Raaza
I don't put off fire,Tindaaza
to host a visitor,Okuraaza
I host a visitor,Ndaaza
he/she host a visitors,Araaza
I have host a visitored,Ndaazire
host a visitor!,Raaza
I don't host a visitor,Tindaaza
to postpone an action,Okuraaza
I postpone an action,Ndaaza
he/she postpone an actions,Araaza
I have postpone an actioned,Ndaazire
postpone an action!,Raaza
I don't postpone an action,Tindaaza
to go via,Okuraba
I go via,Ndaba
he/she go vias,Araba
I have go viaed,Ndabire
go via!,Raba
I don't go via,Tindaba
to faint,Okuraba
I faint,Ndaba
he/she faints,Araba
I have fainted,Ndabire
faint!,Raba
I don't faint,Tindaba
to pass through,Okurabamu
I pass through,Ndabamu
he/she pass throughs,Arabamu
I have pass throughed,Ndabamuire
pass through!,Rabamu
I don't pass through,Tindabamu
passing each other inadvertently,Okurabanaho-empyor
to bid farewel,Okuraga
I bid farewel,Ndaga
he/she bid farewels,Araga
I have bid fareweled,Ndagire
bid farewel!,Raga
I don't bid farewel,Tindaga
Usage: Ankole. See:okWEZIRIKURURA,Okwezirikura
I usage: ankole. see:okwezirikurura,Nezirikura
he/she usage: ankole. see:okwezirikururas,Aezirikura
I have usage: ankole. see:okwezirikururaed,Nezirikuzire
usage: ankole. see:okwezirikurura!,Ezirikura
I don't usage: ankole. see:okwezirikurura,Tinezirikura
to walk around. Var:okwezigurusa,Okwezigurusa
I walk around. var:okwezigurusa,Nezigurusa
he/she walk around. var:okwezigurusas,Aezigurusa
I have walk around. var:okwezigurusaed,Nezigurusire
walk around. var:okwezigurusa!,Ezigurusa
I don't walk around. var:okwezigurusa,Tinezigurusa
to turn around. See:okUZEngeRERA,Okwezengereza
I turn around. see:okuzengerera,Nezengereza
he/she turn around. see:okuzengereras,Aezengereza
I have turn around. see:okuzengereraed,Nezengerezire
turn around. see:okuzengerera!,Ezengereza
I don't turn around. see:okuzengerera,Tinezengereza
to yawn,Okweyayamura
I yawn,Neyayamura
he/she yawns,Aeyayamura
I have yawned,Neyayamuzire
yawn!,Eyayamura
I don't yawn,Tineyayamura
to introduce oneself. See:okWANJURA,Okweyanjura
I introduce oneself. see:okwanjura,Neyanjura
he/she introduce oneself. see:okwanjuras,Aeyanjura
I have introduce oneself. see:okwanjuraed,Neyanjuzire
introduce oneself. see:okwanjura!,Eyanjura
I don't introduce oneself. see:okwanjura,Tineyanjura
See: okWETUMIRIZA,Okwetumisiriza
I see: okwetumiriza,Netumisiriza
he/she see: okwetumirizas,Aetumisiriza
I have see: okwetumirizaed,Netumisirizire
see: okwetumiriza!,Etumisiriza
I don't see: okwetumiriza,Tinetumisiriza
to shake oneself,Okwetigita
I shake oneself,Netigita
he/she shake oneselfs,Aetigita
I have shake oneselfed,Netigisire
shake oneself!,Etigita
I don't shake oneself,Tinetigita
to understand each other,Okwetegerezana
I understand each other,Netegerezana
he/she understand each others,Aetegerezana
I have understand each othered,Netegerezanire
understand each other!,Etegerezana
I don't understand each other,Tinetegerezana
See: okWETEGUURA,Okwetebeekanisa
I see: okweteguura,Netebeekanisa
he/she see: okweteguuras,Aetebeekanisa
I have see: okweteguuraed,Netebeekanisire
see: okweteguura!,Etebeekanisa
I don't see: okweteguura,Tinetebeekanisa
to mix,Okwetabura
I mix,Netabura
he/she mixs,Aetabura
I have mixed,Netabuzire
mix!,Etabura
I don't mix,Tinetabura
praising oneself. See:okUSINGIZA,Okwesingiza
I praising oneself. see:okusingiza,Nesingiza
he/she praising oneself. see:okusingizas,Aesingiza
I have praising oneself. see:okusingizaed,Nesingizire
praising oneself. see:okusingiza!,Esingiza
I don't praising oneself. see:okusingiza,Tinesingiza
to pull oneself,Okwesika
I pull oneself,Nesika
he/she pull oneselfs,Aesika
I have pull oneselfed,Nesikire
pull oneself!,Esika
I don't pull oneself,Tinesika
[okwesisibaniza] v. See:okWESISIBANISA,Okwesiisibiriza
to boast of something,Okwesiimirana
I boast of something,Nesiimirana
he/she boast of somethings,Aesiimirana
I have boast of somethinged,Nesiimiranire
boast of something!,Esiimirana
I don't boast of something,Tinesiimirana
See: okusweKA,Okweshweka
I see: okusweka,Neshweka
he/she see: okuswekas,Aeshweka
I have see: okuswekaed,Neshwekire
see: okusweka!,Eshweka
I don't see: okusweka,Tineshweka
to enjoy oneself,Okwesemeza
I enjoy oneself,Nesemeza
he/she enjoy oneselfs,Aesemeza
I have enjoy oneselfed,Nesemezire
enjoy oneself!,Esemeza
I don't enjoy oneself,Tinesemeza
to bandage oneself. See:okuseMBA,Okwesemba
I bandage oneself. see:okusemba,Nesemba
he/she bandage oneself. see:okusembas,Aesemba
I have bandage oneself. see:okusembaed,Nesembire
bandage oneself. see:okusemba!,Esemba
I don't bandage oneself. see:okusemba,Tinesemba
to pay oneself. See:okusasura,Okwesasura
I pay oneself. see:okusasura,Nesasura
he/she pay oneself. see:okusasuras,Aesasura
I have pay oneself. see:okusasuraed,Nesasuzire
pay oneself. see:okusasura!,Esasura
I don't pay oneself. see:okusasura,Tinesasura
to find room,Okwesanja
I find room,Nesanja
he/she find rooms,Aesanja
I have find roomed,Nesanzire
find room!,Esanja
I don't find room,Tinesanja
to be disgusted,Okwesaanya
I be disgusted,Nesaanya
he/she be disgusteds,Aesaanya
I have be disgusteded,Nesaanyire
be disgusted!,Esaanya
I don't be disgusted,Tinesaanya
to make yourself clean,Okweringirika
I make yourself clean,Neringirika
he/she make yourself cleans,Aeringirika
I have make yourself cleaned,Neringirikire
make yourself clean!,Eringirika
I don't make yourself clean,Tineringirika
to come voluntarily,Okwereeta
I come voluntarily,Nereeta
he/she come voluntarilies,Aereeta
I have come voluntarilied,Nereesire
come voluntarily!,Ereeta
I don't come voluntarily,Tinereeta
to water,Okwereera
I water,Nereera
he/she waters,Aereera
I have watered,Nereezire
water!,Ereera
I don't water,Tinereera
to catch a glance,Okwerabwa
I catch a glance,Nerabwa
he/she catch a glances,Aerabwa
I have catch a glanced,Nerabwire
catch a glance!,Erabwa
I don't catch a glance,Tinerabwa
to be ripe,Okwera
I be ripe,Nera
he/she be ripes,Aera
I have be riped,Nezire
be ripe!,Era
I don't be ripe,Tinera
to pour half way,Okwenyungutuka
I pour half way,Nenyungutuka
he/she pour half ways,Aenyungutuka
I have pour half wayed,Nenyungutukire
pour half way!,Enyungutuka
I don't pour half way,Tinenyungutuka
To squeeze oneself through,Okwenyigiriza
I squeeze oneself through,Nenyigiriza
he/she squeeze oneself throughs,Aenyigiriza
I have squeeze oneself throughed,Nenyigirizire
squeeze oneself through!,Enyigiriza
I don't squeeze oneself through,Tinenyigiriza
See: okWENAAMUURA,Okwenootoora
I see: okwenaamuura,Nenootoora
he/she see: okwenaamuuras,Aenootoora
I have see: okwenaamuuraed,Nenootoozire
see: okwenaamuura!,Enootoora
I don't see: okwenaamuura,Tinenootoora
to escape,Okweniaguriza
I escape,Neniaguriza
he/she escapes,Aeniaguriza
I have escaped,Neniagurizire
escape!,Eniaguriza
I don't escape,Tineniaguriza
to over rippen,Okwengerera
I over rippen,Nengerera
he/she over rippens,Aengerera
I have over rippened,Nengerezire
over rippen!,Engerera
I don't over rippen,Tinengerera
to spread,Okwemereza
I spread,Nemereza
he/she spreads,Aemereza
I have spreaded,Nemerezire
spread!,Emereza
I don't spread,Tinemereza
to have pheumonia,Okwemererwa
I have pheumonia,Nemererwa
he/she have pheumonias,Aemererwa
I have have pheumoniaed,Nemererwire
have pheumonia!,Emererwa
I don't have pheumonia,Tinemererwa
to sweet talk someone,Okwekuringirira
I sweet talk someone,Nekuringirira
he/she sweet talk someones,Aekuringirira
I have sweet talk someoned,Nekuringirizire
sweet talk someone!,Ekuringirira
I don't sweet talk someone,Tinekuringirira
to be selfish,Okwekunda
I be selfish,Nekunda
he/she be selfishes,Aekunda
I have be selfished,Nekundire
be selfish!,Ekunda
I don't be selfish,Tinekunda
rolling one self,Okwekunangura
I rolling one self,Nekunangura
he/she rolling one selfs,Aekunangura
I have rolling one selfed,Nekunanguzire
rolling one self!,Ekunangura
I don't rolling one self,Tinekunangura
See: okWEKUBA,Okwekubirana
I see: okwekuba,Nekubirana
he/she see: okwekubas,Aekubirana
I have see: okwekubaed,Nekubiranire
see: okwekuba!,Ekubirana
I don't see: okwekuba,Tinekubirana
to fold oneself,Okwekuba
I fold oneself,Nekuba
he/she fold oneselfs,Aekuba
I have fold oneselfed,Nekubire
fold oneself!,Ekuba
I don't fold oneself,Tinekuba
to dress smartly,Okwekoma
I dress smartly,Nekoma
he/she dress smartlies,Aekoma
I have dress smartlied,Nekomire
dress smartly!,Ekoma
I don't dress smartly,Tinekoma
to compesate oneself. See:okUKEITA,Okwekeita
I compesate oneself. see:okukeita,Nekeita
he/she compesate oneself. see:okukeitas,Aekeita
I have compesate oneself. see:okukeitaed,Nekeisire
compesate oneself. see:okukeita!,Ekeita
I don't compesate oneself. see:okukeita,Tinekeita
to emphasise,Okwekambiika
I emphasise,Nekambiika
he/she emphasises,Aekambiika
I have emphasised,Nekambiikire
emphasise!,Ekambiika
I don't emphasise,Tinekambiika
to use something,Okwejunisa
I use something,Nejunisa
he/she use somethings,Aejunisa
I have use somethinged,Nejunisire
use something!,Ejunisa
I don't use something,Tinejunisa
to get annoyed quickly,Okwejugumbura
I get annoyed quickly,Nejugumbura
he/she get annoyed quicklies,Aejugumbura
I have get annoyed quicklied,Nejugumbuzire
get annoyed quickly!,Ejugumbura
I don't get annoyed quickly,Tinejugumbura
to remind oneself. See:okWIJUKA,Okweijusa
I remind oneself. see:okwijuka,Neijusa
he/she remind oneself. see:okwijukas,Aeijusa
I have remind oneself. see:okwijukaed,Neijusire
remind oneself. see:okwijuka!,Eijusa
I don't remind oneself. see:okwijuka,Tineijusa
to roll oneself. See:okUHIRINGISA,Okwehiringisa
I roll oneself. see:okuhiringisa,Nehiringisa
he/she roll oneself. see:okuhiringisas,Aehiringisa
I have roll oneself. see:okuhiringisaed,Nehiringisire
roll oneself. see:okuhiringisa!,Ehiringisa
I don't roll oneself. see:okuhiringisa,Tinehiringisa
to praise oneself. See:okUHIMBISA,Okwehimbisa
I praise oneself. see:okuhimbisa,Nehimbisa
he/she praise oneself. see:okuhimbisas,Aehimbisa
I have praise oneself. see:okuhimbisaed,Nehimbisire
praise oneself. see:okuhimbisa!,Ehimbisa
I don't praise oneself. see:okuhimbisa,Tinehimbisa
to squeeze oneself,Okwehigika
I squeeze oneself,Nehigika
he/she squeeze oneselfs,Aehigika
I have squeeze oneselfed,Nehigikire
squeeze oneself!,Ehigika
I don't squeeze oneself,Tinehigika
to punish oneself,Okwehena
I punish oneself,Nehena
he/she punish oneselfs,Aehena
I have punish oneselfed,Nehenire
punish oneself!,Ehena
I don't punish oneself,Tinehena
See: okWEHAGANYURA,Okwehanduura
I see: okwehaganyura,Nehanduura
he/she see: okwehaganyuras,Aehanduura
I have see: okwehaganyuraed,Nehanduuzire
see: okwehaganyura!,Ehanduura
I don't see: okwehaganyura,Tinehanduura
to have oneself registered,Okwehandiikisa
I have oneself registered,Nehandiikisa
he/she have oneself registereds,Aehandiikisa
I have have oneself registereded,Nehandiikisire
have oneself registered!,Ehandiikisa
I don't have oneself registered,Tinehandiikisa
to register oneself,Okwehandiika
I register oneself,Nehandiika
he/she register oneselfs,Aehandiika
I have register oneselfed,Nehandiikire
register oneself!,Ehandiika
I don't register oneself,Tinehandiika
See: okWEHAGANYURA,Okwehakuura
I see: okwehaganyura,Nehakuura
he/she see: okwehaganyuras,Aehakuura
I have see: okwehaganyuraed,Nehakuuzire
see: okwehaganyura!,Ehakuura
I don't see: okwehaganyura,Tinehakuura
to endure a condition,Okwegumya
I endure a condition,Negumya
he/she endure a conditions,Aegumya
I have endure a conditioned,Negumyire
endure a condition!,Egumya
I don't endure a condition,Tinegumya
See:okUGONOOZA,Okwegonooza
I see:okugonooza,Negonooza
he/she see:okugonoozas,Aegonooza
I have see:okugonoozaed,Negonoozire
see:okugonooza!,Egonooza
I don't see:okugonooza,Tinegonooza
to favour oneself,Okwegombeza
I favour oneself,Negombeza
he/she favour oneselfs,Aegombeza
I have favour oneselfed,Negombezire
favour oneself!,Egombeza
I don't favour oneself,Tinegombeza
See: okWEGANDA,Okweganya
I see: okweganda,Neganya
he/she see: okwegandas,Aeganya
I have see: okwegandaed,Neganyire
see: okweganda!,Eganya
I don't see: okweganda,Tineganya
to report oneself,Okwegamba
I report oneself,Negamba
he/she report oneselfs,Aegamba
I have report oneselfed,Negambire
report oneself!,Egamba
I don't report oneself,Tinegamba
to humble oneself,Okwecwendeeka
I humble oneself,Necwendeeka
he/she humble oneselfs,Aecwendeeka
I have humble oneselfed,Necwendeekire
humble oneself!,Ecwendeeka
I don't humble oneself,Tinecwendeeka
to divide into groups,Okwecwamu
I divide into groups,Necwamu
he/she divide into groupses,Aecwamu
I have divide into groupsed,Necwamuire
divide into groups!,Ecwamu
I don't divide into groups,Tinecwamu
to abuse your body,Okwecuukuura
I abuse your body,Necuukuura
he/she abuse your bodies,Aecuukuura
I have abuse your bodied,Necuukuuzire
abuse your body!,Ecuukuura
I don't abuse your body,Tinecuukuura
to be work hard,Okwecurenga
I be work hard,Necurenga
he/she be work hards,Aecurenga
I have be work harded,Necurengire
be work hard!,Ecurenga
I don't be work hard,Tinecurenga
behave childly,Okwecamura
I behave childly,Necamura
he/she behave childlies,Aecamura
I have behave childlied,Necamuzire
behave childly!,Ecamura
I don't behave childly,Tinecamura
to forget,Okwebwa
I forget,Nebwa
he/she forgets,Aebwa
I have forgeted,Nebwire
forget!,Ebwa
I don't forget,Tinebwa
to hide yourself,Okwebisa
I hide yourself,Nebisa
he/she hide yourselfs,Aebisa
I have hide yourselfed,Nebisire
hide yourself!,Ebisa
I don't hide yourself,Tinebisa
See: okWEBIRIKA,Okwebiringita
I see: okwebirika,Nebiringita
he/she see: okwebirikas,Aebiringita
I have see: okwebirikaed,Nebiringisire
see: okwebirika!,Ebiringita
I don't see: okwebirika,Tinebiringita
to be helpless,Okwayaya
I be helpless,Nayaya
he/she be helplesses,Aayaya
I have be helplessed,Nayayire
be helpless!,Ayaya
I don't be helpless,Tinayaya
to loot or plunder,Okwaya
I loot or plunder,Naya
he/she loot or plunders,Aaya
I have loot or plundered,Nayire
loot or plunder!,Aya
I don't loot or plunder,Tinaya
to hatch the chicks,Okwatura
I hatch the chicks,Natura
he/she hatch the chickses,Aatura
I have hatch the chicksed,Natuzire
hatch the chicks!,Atura
I don't hatch the chicks,Tinatura
to be audible,Okwatuka
I be audible,Natuka
he/she be audibles,Aatuka
I have be audibled,Natukire
be audible!,Atuka
I don't be audible,Tinatuka
to cut open,Okwatirira
I cut open,Natirira
he/she cut opens,Aatirira
I have cut opened,Natirizire
cut open!,Atirira
I don't cut open,Tinatirira
See: okWAKA,Okwatayata
I see: okwaka,Natayata
he/she see: okwakas,Aatayata
I have see: okwakaed,Natayasire
see: okwaka!,Atayata
I don't see: okwaka,Tinatayata
to be divided,Okwatana
I be divided,Natana
he/she be divideds,Aatana
I have be divideded,Natanire
be divided!,Atana
I don't be divided,Tinatana
to disclose secrets,Okwata-amabanga
I disclose secrets,Nata-amabanga
he/she disclose secretses,Aata-amabanga
I have disclose secretsed,Nata-amabangire
disclose secrets!,Ata-amabanga
I don't disclose secrets,Tinata-amabanga
to hatch out,Okwaruka
I hatch out,Naruka
he/she hatch outs,Aaruka
I have hatch outed,Narukire
hatch out!,Aruka
I don't hatch out,Tinaruka
to slap someone heavilly,Okwanura
I slap someone heavilly,Nanura
he/she slap someone heavillies,Aanura
I have slap someone heavillied,Nanuzire
slap someone heavilly!,Anura
I don't slap someone heavilly,Tinanura
to open something widely,Okwanjuruza
I open something widely,Nanjuruza
he/she open something widelies,Aanjuruza
I have open something widelied,Nanjuruzire
open something widely!,Anjuruza
I don't open something widely,Tinanjuruza
to finish grinding,Okwanjura
I finish grinding,Nanjura
he/she finish grindings,Aanjura
I have finish grindinged,Nanjuzire
finish grinding!,Anjura
I don't finish grinding,Tinanjura
to spread something,Okwanja
I spread something,Nanja
he/she spread somethings,Aanja
I have spread somethinged,Nanzire
spread something!,Anja
I don't spread something,Tinanja
to declare publically,Okwanika
I declare publically,Nanika
he/she declare publicallies,Aanika
I have declare publicallied,Nanikire
declare publically!,Anika
I don't declare publically,Tinanika
to do something hurriedly,Okwangusa
I do something hurriedly,Nangusa
he/she do something hurriedlies,Aangusa
I have do something hurriedlied,Nangusire
do something hurriedly!,Angusa
I don't do something hurriedly,Tinangusa
to gilter,Okwangaasana
I gilter,Nangaasana
he/she gilters,Aangaasana
I have giltered,Nangaasanire
gilter!,Angaasana
I don't gilter,Tinangaasana
to dry up,Okwanduuka
I dry up,Nanduuka
he/she dry ups,Aanduuka
I have dry uped,Nanduukire
dry up!,Anduuka
I don't dry up,Tinanduuka
to walk hurriedly,Okwandaguza
I walk hurriedly,Nandaguza
he/she walk hurriedlies,Aandaguza
I have walk hurriedlied,Nandaguzire
walk hurriedly!,Andaguza
I don't walk hurriedly,Tinandaguza
to start flowering,Okwana
I start flowering,Nana
he/she start flowerings,Aana
I have start floweringed,Nanire
start flowering!,Ana
I don't start flowering,Tinana
to shout loudly,Okwamuza
I shout loudly,Namuza
he/she shout loudlies,Aamuza
I have shout loudlied,Namuzire
shout loudly!,Amuza
I don't shout loudly,Tinamuza
to stop raining,Okwamuuka
I stop raining,Namuuka
he/she stop rainings,Aamuuka
I have stop raininged,Namuukire
stop raining!,Amuuka
I don't stop raining,Tinamuuka
See: okUTAKIIRIRWA,Okwakiirirwa
I see: okutakiirirwa,Nakiirirwa
he/she see: okutakiirirwas,Aakiirirwa
I have see: okutakiirirwaed,Nakiirirwire
see: okutakiirirwa!,Akiirirwa
I don't see: okutakiirirwa,Tinakiirirwa
to begin to graze,Okwahukira
I begin to graze,Nahukira
he/she begin to grazes,Aahukira
I have begin to grazed,Nahukizire
begin to graze!,Ahukira
I don't begin to graze,Tinahukira
to sit at ease,Okwagagara
I sit at ease,Nagagara
he/she sit at eases,Aagagara
I have sit at eased,Nagagazire
sit at ease!,Agagara
I don't sit at ease,Tinagagara
to complain,Okwabaaba
I complain,Nabaaba
he/she complains,Aabaaba
I have complained,Nabaabire
complain!,Abaaba
I don't complain,Tinabaaba
to burst,Okwaba
I burst,Naba
he/she bursts,Aaba
I have bursted,Nabire
burst!,Aba
I don't burst,Tinaba
to shake something. Var:okujunguza,Okuzunguza
I shake something. var:okujunguza,Nzunguza
he/she shake something. var:okujunguzas,Azunguza
I have shake something. var:okujunguzaed,Nzunguzire
shake something. var:okujunguza!,Zunguza
I don't shake something. var:okujunguza,Tinzunguza
the act of reconciling,Okuziruura
I the act of reconciling,Nziruura
he/she the act of reconcilings,Aziruura
I have the act of reconcilinged,Nziruuzire
the act of reconciling!,Ziruura
I don't the act of reconciling,Tinziruura
to deter a taboo,Okuzirura
I deter a taboo,Nzirura
he/she deter a taboos,Azirura
I have deter a tabooed,Nziruzire
deter a taboo!,Zirura
I don't deter a taboo,Tinzirura
to be undecided,Okuzirazira
I be undecided,Nzirazira
he/she be undecideds,Azirazira
I have be undecideded,Nzirazizire
be undecided!,Zirazira
I don't be undecided,Tinzirazira
to become paralyzed,Okuzingama
I become paralyzed,Nzingama
he/she become paralyzeds,Azingama
I have become paralyzeded,Nzingamire
become paralyzed!,Zingama
I don't become paralyzed,Tinzingama
to attack. See: okUTAAHIRIRA,Okuzinda
I attack. see: okutaahirira,Nzinda
he/she attack. see: okutaahiriras,Azinda
I have attack. see: okutaahiriraed,Nzindire
attack. see: okutaahirira!,Zinda
I don't attack. see: okutaahirira,Tinzinda
deep underground,Okuzimu
to become problematic,Okuzimbagarira
I become problematic,Nzimbagarira
he/she become problematics,Azimbagarira
I have become problematiced,Nzimbagarizire
become problematic!,Zimbagarira
I don't become problematic,Tinzimbagarira
to overcharge,Okuzimba
I overcharge,Nzimba
he/she overcharges,Azimba
I have overcharged,Nzimbire
overcharge!,Zimba
I don't overcharge,Tinzimba
to become very dirty,Okuzika
I become very dirty,Nzika
he/she become very dirties,Azika
I have become very dirtied,Nzikire
become very dirty!,Zika
I don't become very dirty,Tinzika
to overgrow,Okuzika
I overgrow,Nzika
he/she overgrows,Azika
I have overgrowed,Nzikire
overgrow!,Zika
I don't overgrow,Tinzika
to strangle something,Okuzigirira
I strangle something,Nzigirira
he/she strangle somethings,Azigirira
I have strangle somethinged,Nzigirizire
strangle something!,Zigirira
I don't strangle something,Tinzigirira
to paint something black,Okuziga
I paint something black,Nziga
he/she paint something blacks,Aziga
I have paint something blacked,Nzigire
paint something black!,Ziga
I don't paint something black,Tinziga
to sit vagarantly,Okuzeetama
I sit vagarantly,Nzeetama
he/she sit vagarantlies,Azeetama
I have sit vagarantlied,Nzeetamire
sit vagarantly!,Zeetama
I don't sit vagarantly,Tinzeetama
phr. to cause trouble,Okuzaara-akantu
to return from exile,Okuzaahuuka
I return from exile,Nzaahuuka
he/she return from exiles,Azaahuuka
I have return from exiled,Nzaahuukire
return from exile!,Zaahuuka
I don't return from exile,Tinzaahuuka
to get disorganised,Okuzaagarara
I get disorganised,Nzaagarara
he/she get disorganiseds,Azaagarara
I have get disorganiseded,Nzaagarazire
get disorganised!,Zaagarara
I don't get disorganised,Tinzaagarara
to become morning,Okuyangayanga
I become morning,Nyangayanga
he/she become mornings,Ayangayanga
I have become morninged,Nyangayangire
become morning!,Yangayanga
I don't become morning,Tinyangayanga
to be a hooligan,Okuyaayuuka
I be a hooligan,Nyaayuuka
he/she be a hooligans,Ayaayuuka
I have be a hooliganed,Nyaayuukire
be a hooligan!,Yaayuuka
I don't be a hooligan,Tinyaayuuka
to disorganise things. See:okUVURUGA2,Okuvuyanga
I disorganise things. see:okuvuruga2,Nvuyanga
he/she disorganise things. see:okuvuruga2s,Avuyanga
I have disorganise things. see:okuvuruga2ed,Nvuyangire
disorganise things. see:okuvuruga2!,Vuyanga
I don't disorganise things. see:okuvuruga2,Tinvuyanga
to dilute something concentrated,Okuvunuura
I dilute something concentrated,Nvunuura
he/she dilute something concentrateds,Avunuura
I have dilute something concentrateded,Nvunuuzire
dilute something concentrated!,Vunuura
I don't dilute something concentrated,Tinvunuura
to beg for alcohol,Okuvumba
I beg for alcohol,Nvumba
he/she beg for alcohols,Avumba
I have beg for alcoholed,Nvumbire
beg for alcohol!,Vumba
I don't beg for alcohol,Tinvumba
to fill to capacity,Okuviigiiza
I fill to capacity,Nviigiiza
he/she fill to capacities,Aviigiiza
I have fill to capacitied,Nviigiizire
fill to capacity!,Viigiiza
I don't fill to capacity,Tinviigiiza
See: okUTWARIRANA,Okutwaririra
I see: okutwarirana,Ntwaririra
he/she see: okutwariranas,Atwaririra
I have see: okutwariranaed,Ntwaririzire
see: okutwarirana!,Twaririra
I don't see: okutwarirana,Tintwaririra
to become pregnant,Okutwara
I become pregnant,Ntwara
he/she become pregnants,Atwara
I have become pregnanted,Ntwazire
become pregnant!,Twara
I don't become pregnant,Tintwara
to move while bending,Okutuutuuba
I move while bending,Ntuutuuba
he/she move while bendings,Atuutuuba
I have move while bendinged,Ntuutuubire
move while bending!,Tuutuuba
I don't move while bending,Tintuutuuba
See: okUTUUNAGIRA,Okutuunagurikwa
I see: okutuunagira,Ntuunagurikwa
he/she see: okutuunagiras,Atuunagurikwa
I have see: okutuunagiraed,Ntuunagurikwire
see: okutuunagira!,Tuunagurikwa
I don't see: okutuunagira,Tintuunagurikwa
See: okUTURIZA. Var:okuturiza,Okuturubiza
I see: okuturiza. var:okuturiza,Nturubiza
he/she see: okuturiza. var:okuturizas,Aturubiza
I have see: okuturiza. var:okuturizaed,Nturubizire
see: okuturiza. var:okuturiza!,Turubiza
I don't see: okuturiza. var:okuturiza,Tinturubiza
"to mixSee: KUJWAnza, KUCANGANYA",Okuturaniza
"I mixsee: kujwanza, kucanganya",Nturaniza
"he/she mixsee: kujwanza, kucanganyas",Aturaniza
"I have mixsee: kujwanza, kucanganyaed",Nturanizire
"mixsee: kujwanza, kucanganya!",Turaniza
