enkura	Rhinoceros
amiirra	To call a bud
ekisago	A pillow,cushion
obusungu	Straw of grasses
ceeceeba	Cebaceba
bitengo	Ragged clothes or skins
akaterebeerra kutaba na numtu w 'okumwekambisa kukora emirimo; omunlu kwikara omukitabu abyamire esaaha zoona kimuterebeza; ogu akaterebezibwa obugara	He/ she became indolent because be/she did not have anyone to encourage him/her work; to Keeping in bed all the time makes one indolent; Laziness made him/her indolent
bugendandara	To sluggishly walk
fuuta	To fill mouth with food
ebyenyanja	Fishes
obujabago	Muddy areas
tuuza	To (used die of King only)
banganira	To belp
ensaagi	Surplus
akam11jumira obugara	He/she scolded him/her for laziness
empulirizo	Small opening of cavity
ebitinti	Patched garmens
televizoni	Cl.9
omunt11 alakozesa mubiri gwe aikara aturumukire	A person who does not exercise his/her body is always slothful
ekigiiko	Spoon
ebikora muhogo bya	Cassava leaves
tongana	To go to law, lead against
ebisanju	Whips
ebicaani	Campfire made for cows
eyorobya	To insinuate oneself,fawn
ebidongodongo	Herons
ebyondo	Mud: soft sticky mud
amaani	Strength,authority, violence, force
faabbiina	To work hard
biseereere	Beans
omusaiJa amutaagisize; akakira kutaagisibwa kumuteeza eldJumbura	The man has made him/ her cry out for mercy; What caused him/her to cry out for help most was being struck with stinging leaves
engundizi	Weakling; person long-lived
turimira omusiri tutakabyaire	We plow the field before planting
baro	Your husband
embone	Eyelids
tooka	To give present to (loved one)
egaa rraamu,	To pluck up courage
bigene	Entertaining conversation
esiga	To trust, rely
ebisabiko	Herbal purgatives
ekitanake	Heap of vomit
bulinzi	Guardianship
emerezi	Self sown or planted
buculeezi	Humility,meekness, docil ity, gentleness
amakendu	Waist
omuntu obu alWara omukanwa bamuha omubazi gw'okujubata	When a person complains mouth of sores they give him/her medicine to keep in the mouth for a while
akafaafaanira mukyaro; akakira muno kufaafaanizibwa obulemu	He/she came up ended in ruins while in the village; Be/she was worn out by the war
ebyadaadi	Placenta, after births
bbuukura	Roar
buculeezi	Humility,meekness, docil gentleness ity,
akarande	:inherited character or trait
akaregete	Small packet
ebirubi	Furnaces
tandagaraza	To spread out the legs
bugumangani	Stiffness, fimmess, hardness, rigidness
okusegesa gugumire mulimo	Threshing is hard work
akasanga tumazire ira kulya n"emeza bagitandukurwire ira; akaba	He/ she found that we had already finished eating and the table had already been cleared up. Tangs. She had already gone, but her husband stopped her while on the way
buyungiro	Joint, splice
bukeeto	Stewardship
esaasi	Sympathy, mercy, kindness
bugwagwa	Foolishness
ekisomabwire	A nightjar bird
ceiceice	In total silence
etanka	Tank
kubonesa	Torture
Ekaranduza	To clear the throat
ebisosonkoro	Empty
enkumbititi	Multitude, crowd,abundance
ebidikizo	Idioms
byara	Fingers
Egejageja	To malinger
ensobi	Mistake, error
ekinyonyi	Bird
entambu	Pace, short distance, strides
okugesa	Reaping
etanga	To control oneself, refrain
ebiina	Hole, ditch, pits
kutimba	Decoration, adornment, exaggerations
dikira	To sink
Bungereza	England
Tajeemerwa	One of the Royal drums
ekinyangondookyera/ekitindinda	A snail
bigesera	Hair plaited style
tata	To spy on
Ekanga	To be indolent, lazy
akamogo	A mark,a scar
obufuki	Damp, cold
Emyesungo	Cheeky, rudeness, perversity, affectation
enkanjaiga	Times
tuuba	To be gluttonous, voracious
omuntu obu ahikaho embwa erukunena igufa; obu ohuurra embwa neetuurruuma	Etuurruuma, when a person approaches a dog that is biting a bone, it growls; Buli haroho omunt11 agisangire neenena when igufa, you hear a dog growling, it means that someone has found it biting a bone· Of pass. c. Form, t1111rr11umibwa, ku-: oku-
tuna	To gaze, tuna tungalllira stand motionless
jooliima	To speak lazily
kukaba	Collapse, fall
esorooza	To assemble, together come
ebigonzi	Waves
dai	Intensive with guma
bunabbi	Prophecy
abantu abamu batona amajugaabo n 'inoni; obu oba otaina rangi y' Ekijungu noosobora kutonesa inoni	Somepeople depict houses with chalk; If you do not have manufactured paint you can use locally mined white clay (chalk)
bihunda	Rubbish, refuse
esoka	To gorge oneself
cwekanira	Rush at
tukuma	To tremble, shiver
Emanyisa	To make oneself
ebipanga	Panga, matchets
tukiriza	To pester, importune
akasumi kokugesa kaba kasumi kokusemererwa	Harvest time is a time of joy
Ebotoora	To rub oneself
ebitindinda	Snail, slugs
jarabanga	To spoil, treat carelessly
ebyange	Mines
Ehotora	To wind
ebyesomeko	Coat, made-up garment, overals
fukumura	To shake out (contents of gourd )
jwabiirra	To be untidy esp. Around the mouth after a meal or drink
amaizi akaba naagya kwoga akabanza kugafukya	He/she first made cold the water that he/she was going to use for bathing
entarutahu	Walk very quickly
ebinyamakeka	Civet-cas
bugizi	Ability, power
ekisutama-hamwe	A traditional stool
engweterano	From generation to generation
Ekopa	To buy on credit
ekikorwa	Deed, act
tuurra	To infect
ekiragaano	Covenant, agreement
ekijuju	Tsetsefly
buhu nga	Flour
ebisagiko	Ornament: hair beadses
junaana	To claim, hold responsible blame
taha	To draw (water}, bale ladle out
akakonkomoko	Slope
obunuriirizi	Sweet tastes
amaizi akaba naagya kwoga akabanza kugafukya	He/she first cold made the water he/she that was going to use for bathing
tara	To form battle array
batembuzi	Pioneers, harbigners
bujune	Sorrow, misery, trouble, melancholy
abaana nubo bakanya muno kutanakira omubbaasi; haroho emibazi enyakutanakya abarwaire	It is mostly children who vomit buses while There are some medicines which make patients vomit
entungo	Sim-sim seeds
entabo n	Red clay, fertile soil
ebaasa	Envelope
Empungira	Sleeping-sickness
empooza	Taxi levied, dues, customs
poliisi ekatamba kukwata omusuma owaakaba atuntwize ekyaro; omufumu onu atambira sente nke muno; atambisa emibazi y 'Ekitooro; enu endwara neetambwa Abarukwiragura	The police did a commendable job to arrest a thief who used to terrorize people in the village; This doctor asks for very little money for treatment; He/she uses Kitooro herbs to cure people of their diseases; This disease is curable by African traditional healers
tegana	To be very busy, be bothered
omusaija akatiiniriirra mugenzi we omwirungu obu bagiire kuhiiga embogo	A man his hunting mate in the lurch when he was caught by the in the jungle
temuka	To become tom, rent
tebeekera	To give permission to, leave it to fate, assent agree,
akatebereza Namugongo abasomi boona baamugayuka	He preached at Namugongo and all the faithful appreciated his sermon
bunyagwa	Captivity
eyongosa	To go twist; unwillingly
amaarwa	Give or offer beer
burwa	Ashes of burnt cow-dung
tembekaniza	To pile up in a heap. Tembekerana, ku-, olru-, v.tr
akasoonooki	Morning sunshine
ebyenju muno ebyengere bitunaa amaarwa	Plantains that are too ripe make the beer sour, Of pass. c. Form, turuzibwa, ku-, oku-
empotole	sweet banana juice
bwesengeze	Leasehold land
Mukama akatutanga kutunturuurra ebintu by	The Lord stopped us from being weary of earthly things
I.akakwazo; akakule; t. akairimira; amabega; t. /. ekiikoohe; t. ekikule; t. ensibo; t. amasa; oburaro; t. /. omuku; t. omusindo; t.orubugo; t. orujali; t. oruhi; 1. orunyege; t. omuhanda; t.enkaito	Laugh loudly; Burst out laugrung; Run very fast, tum a somersault; Tum the back on; Sigh (when tired); Blow a born; Remould an old pot; Beat the air; Make a bridge; (bull), Bellow shut; Stamp the foot; Make a barkcloth; Make merry; T. Empi, slap, hit with flat of band; Dance; Make a journey; Polish shoes
ebyeya	Level plains
buutikira	To smother, cover up
Ebundaaza	To humble oneself
ebihambo	Young pumpkin's gardens
abatenzi batendeso enkindo nmdi e11duko	Abahunzi enkwozi, bolwndiso who people ornament sticks so do with leaves those while who objects adorn do so with beads
ebinyiga	Saltless food or sauce
orubengo nve bakaruterereza omubugenyi	grinding Her stone was made slippery at the wedding (by grinding wrong stuff on it)
tabaijuka	To stumble, trip up, save oneself by running a few paces.
Egambiirra	To exhort oneself
tandama	To stand astride,kneel with legs apart
kulinda obwana bw'enkoko ebihungu abantu ba ira baabujuumikiraga ekigega	In order to prevent chicks from being preyed on by eagles. People of long ago would cover them with a basket. Juumildra, ka-, oku-, v.tr
teeka	To be calm, clear, (as settle muddy liquid)
ekitaba	Ditch
fuba	To cause misfortune, bring bad luck
bwigamo	Shelter
ebikaali	King's or chiefs enclosures
ekyetebuko	An echo
ebipiira	Jerrycans
eseemura	To sneeze
twekwa	To conceive (by fornication)
bbwa	Openly
busi bwa nseeri	On the opposite hills
bumbaataniza	To clasp, tightly
taagura	tear in pieces, mangle, rend
atwire hanu kumara obusumi bwingi baitu titukahuurraaga ngu aibire; ekyamutwize hakyaro kyabo nukwo kutaiba bantu	He/she has been on this village for a long time but we have never heard that he/she bas stolen; The reason why he/ she has lived long on their village is that he/she never steals people's property
butagasi	Warmth
bucwekaih	Loss of children, bereavement
enyama y 'omwihuki w 'amaino baakugitiimirege; haroho obwoma abantu obu enyama	The meat for thetoothless person would be minced; There are machines which are. Used to mince meat
bwati	Fissures of childbirth
ebisoro	Animals
ebigarukwamu	Answers
amaizi bagatagasiza omusafaliya	Water is boiled in a sauce pan
brmira	Mucus of the nose
cuncumura	To drive away, scareaway
engururrumi	Stunted child
ekyeyamura	Yawn
-oyine kufunya esatii oli omukukora	-you are supposed to fold a shirt when u are working.
buhere	Scabies. The itch
kuterangana	To bate each other
ekigugu	Smell burning of food
omuntu ataina maino Jasobora kujunjuburo enyama; tinkabonaga ekijunjumiirra nikijunjumiirra omunju	A toothless person will not gnaw at a piece of meat voraciously; I have never seen a carpenter bee buzzing from a house
jwangana	-to mix together
enzonza-mutima	Deep sorrow or bitterness
ekibunu/ekitiri	Buttocks
eryogero	Bathroom
baamya	Okra
amaanda	Dry cells
cumita	To stab, spear, pierce
ekiteete	Umoa grass
ekisinziro	Heel
buboijana	Loneliness, friendlessness, solitude
omuguwiraro ajanjaarra omubantu abamumanyire; omuntu aina obmwaire obukutuurra ayerinda kubujanjaaza omu bagenzi be	A mad person roams among people who know him/her; A person suffering from a contagious disease is always careful not to spread it to his/her neighbours
abamasaza	County chiefs
buruutura	Rip, tear
amazi	Dung, feaces,stool
Ekilka	To be cross wise
bikaogaara	Old leaves of herbs
ekyesweko	Covering, blanket, sheet
endagu ifubire	Divination has given information of misfortune
bunanasi	Redness
bweganyi	Self-pity
ekyombeko	Building
ekisingolezo	A broom
cekeca	To dance,leap
embaza	Speech, pronunciation, talking of
obusoonooki	Morning sunshines
dainingi	Dining room
ekikaaka	Giant
ekisalizo kikozesibwa okusara emikonde ye'bitoke	The machete is used to cut banana stems
ekyokurwanisa	Weapon
buri	That time
wankuura	Plant with yellow flowers like primerose)
ebisa	Labour pains
ebihimba	Beans
Vi	Intensive with okukwata = hold finnly. Viini, e-, n., wine.
tugika	To forcibly demand payment of debt
ensenyerre	Good clear eyes
begebege	Food, portion out
jwambura	To quickly do
engona	Slime on water
junaaniza	To call to account for, concerning
togonyora	To crush, squash
tondera	To explain, tell all
tabirana	To weave in coloured threads, mix colours together
ebihika	Expectation, curiosity, longing fors
ebyombo	Sailing ship, dhows
tontoma	To murmur, be angry, growl
omuntu obu ataarra omubantu abatamumanyire tabatungiramu businge; enaku nizo itaza omuntu	When a person wanders about amongst people who do not know him/her, he/she gets no peace from them; It is need makes people about
akatokera omukooti om11ramL1Zi yamufubira; rediyo obu agitokesa muno ebuza abarukubaza obusinge	He/sbe became noisy in court and the magistrate reprimanded him/her; When you the radio volume very high it interferes with people's conversation
ebimiro	Deep voices
timbun	To beat entimbo
eyiba	To escape, slink off
ensonzi	Small black fish
ebisigarira	Left-overs
tabika	To mix, join together
tangiirra	To meet and welcome a guest
ebiikaro	Place, spots
jaara	To make a jarring noise, gambling game
empimbaale	A blind cow, goat
ekikaari	A reed fenced
ebingoora	Crows
amajenjeka	To tie loosely
amabeho	Fresh air
tundubika	To soften in water, soak
ebiyengo	Small measuring baskets
ebihera	Odd numbers
ente eny akuteegere ejuukira nambere enimi eri	A cow on heat run will away from herd its to where the bull is
oburo butungmwire abaana batandike kubulinda enyonyi; akamweta kumutungurourra enkwanzi ze	Grains of mmet have began form, to children should start keeping watch of tbe birds. Tu ku-, nguurra, v.pr; oku-, She invitedberto unstringberbeads
juba	lately. Adv., J uba, ku-, oku-, v.i.•
ekijubwe	A type of grass
bufuoda	Narrowness,compression
akairirizi	Twilight,dusk
Egenya	To frown
tamya	To induce disgust
ebisorosoro	Navel: a big navels
enteere	Being very tired
fumbagiriza	elbow way through, to push out of the way
to make enter; Barwenda akataahisa empisi obugenyi. Barwenda invited a hyena to a wedding	Attend wedding; (he that wants trouble)
kujwaha	To be exhausted
ezi	Those ones, which
obusondaburo	Epiglottises
taatlirra	To worry about oneself
ebikwato	Households
empuule	Unground loose grain
ebituzi	large mushrooms
kuhiga	Go hunting alone
bwonjooka	To go away stealthily
tahura	To push forcibly, take by along force
akafunjo	Cyperus papyrus
junguurra	To discard, allow to fall into disuse. '
Endaawa	A castrated bull
tahisa	To draw water with, let down (pitcher, etc.) for water
ekisizi	A plant disease
fungiirra	To hold up (clothes)
etanaki	Nausea, vomit
akakunukizi	Apostrophe
obu arubata ekihooya kye tonokya kitonokora; toooyeerra akatonokoorra omu111uhanda naagya omwirwarro	When he/she walks he/she arouses pain in his/her sore; He/she aroused pain in his/ her sore he/she as went to hospital
ekaanyuma	Behind the house
omuntu obu alWara omukanwa bamuha omubazi gw'okujubata	When a person complains of mouth sores they give him/her medicine to keep in the mouth for a while
etooratoora	To be handy, skilful
ebyahanyuma	Placenta, after births
ebirika	Snow
esoroora	To separate oneself, withdraw
bbanura	To dash down
jogolikana	=jol ekana
ebibiriza	Boiled meats
Dora	Look! Behold!
bbaruka	To burst
busaho muntu anyakugonza kutugunjuurra ekintu omungaro ze	No one likes squashing something in his/her hands
eriino	Tooth
enkwanzi	Beads
bibiri n'ikumi	Two hundred and ten
(p f. -tutumbwire)	To cause lumps on the body
akanenero	A chick-bone
kwinganiza	To be level
butamilzi	Drunkenness, intoxication
ekiziba	Valley dam or pond
teba	Prepare a pipe, cut a pipe stem and fit it into the bowl
obugumangaine	Difficulty
ebyahati	Todays
/.omaiso	protruding Have eyes
ekisiika	Partition,wall, room
esigo	Seeds
ebirungi	Good things
candakaarra	To exhausted be
amakerre	Wild strawbberries
fundukura	To uncover, take the lid off
ebigigo	Molar tooths
ornubazi akagunywa mpora natwaliriza yalindwa yagumaramu; orobazo rokamutwaliriza yahinguza esaaha z 'okugamka omuka	He/she drunk the medicine slowly until he/she finally empted its container; He/she was so much engaged in talk such that he/she went beyond the time she was supposed to go back home
-omusuma bokamufumira omumadaara g'ekitobu.	-A thief was thrusted while he was under the bed.
ekisamba	Floating vegetation on water
ekifunjo	Rectum
buhambirize	Force,compulsion
Ekuliiriza	To take oneself
teeka	To place upright
enziku	Gonorrhoea
ekitiiri	Anus, buttock
omwana obu aba ali omba nyinenkuru ataga	A child becomes carefree while at it 's grandmother's home
omunyoro akataahya omufuruki 0mu kibanja ekikaba kiri kya Bisereko	The chief gave the emigrant the that was deserted by Bisereko
fumbagiriza	To elbow way one's through, to push out of the way
fumura	To piece,bore,lance
buturukamusanaj busa	For nothing
efirimbi	Whistle
buswahirizi	Provocation, taunting, booing
ebyesegenyu	Strainer for waters
teruka	To be poor (soil)
bibiri	Two hundred
ebibaara	Ekibaaras
esungusura	Go away alone
abaanyu	Someone's relatives
ebisambizo ekisanuruzo	Spur of cock combs
bujojo	Elephantiasis
bweculiko	Slope
tura	To set out to work
haroho engoye ezanguha kutoonyorrooka obu ziba zijubire n 'ezitanguha; orugoye onijubire rutoonyorrookera hamuguha rohanikire	There are clothes which take a short time to stop dripping of water when wet and those which take a long time; A wet cloth will stop dripping of water on a line where it's bung
abalimi betoimbaita habwemihendo okuba hansi	Farmers complain about low prices
entuuyo	State of perspiration, sweat
omusaija akatiiniriirra mugenzi we omwirungu obu bagiire kuhiiga embogo	A man left his hunting mate in the when lurch he was caught by the buffalo in the jungle
to nibaririiha kukira aho; byakyo byona	Ifhis/her children take up(mats), take down (bedstead), to bad a large compound they would be mess up things; When a person kakuba ebyokulya obicumbisa omuurro something in loses his/her bed, he/she ogutarukumara, nibitirima. If you cook removes each and every item on it so food under insuffient fire, it becomes as to find it
taakura	To scratch (as hen or dog) in ground
biihirwa	Be vexed, annoyed, troubled
eturubika	To huddle oneself up
enjagirizi	Flatterer
tanda	To stride, take a long step
Sande nayo etooza abantu baingi; abantu batoozibwa muno ekiro kyamazaarwa kukira ebiro ebindi	Sunday will make also many people dress grandly; Christmas make will people dress more than grandly they do on any other day
amagosi	Testicles
fubira	To punish, frustrate
tembeerra	To climb up to
bugambirambere	Talk at random
bakamusiima habw 'okujanjaba Isebo akamujanjabira ameezi mukaaga; tiinyina muntu w'okunjanjabisa omurwaire onu; akajanjabwa mukazi we	They thanked her for attending to their father, She cared for him for six months; I do not have anyone to help me with the care for this patient; He/she was cared for by his wife
atarukusobora kwimuka kutuura omugenyi we; akasaba omuntu ondi aije amutuuze ekigega babagemuliire	Asaba omunlll ondi amumutuurre, he/she that is unable to standup and take a load off the head of his/her visitor will ask another person to do so for him/her; She asked another person to help her take off the basket of food that they brought to them as a present from the bead of its carrier
tokomera	Of ( r tokomiire)
tiitilra	To cheep, twitter
ekihambo	A young pumpkin's garden
bumbaatiza	To clasp tightly
dibisa	To rundown, defame
tukura	To be red
bifunjo	Papyrus
engonero	Secretion the mouth
fubeereza	Dismay, confound
ekihoiga	Bit of grass
amagenda	Going, an outward journey
jungm1rra omwana obuheke a/ye	Rub in the bands husked millet grains so that a child may eat some. Jungi ku-, sa, oku-, v.c
eenimi	Bull: male cattle
ekikoba	Peeled off skin
enkango	End goal, stopping-place
bisuni	Variola, chicken pox
ky 'akohiecupa yo sooda kugifundukuzo amaino	It is dangerous to open a bottle of soda with fundura furuuta the teeth
ahya	To drive from lair
ekigere	Foot, foot print
ebihukuzi	Moles
ebikunya	of Stump a trees
endyanga	leather Skinbag, bag
emenge	Blaze
cwanganizaamu	To divide
amaguli	Large granaries
ekillooya kye ataniire Kasunganyanja; atanire kumanya habwaki omwana atii1·e owe	Nikyetaaga omubazi ogw 'amaani kukiraho, his/her sore has grown worse, it needs much medicine to heal it; she taken hls/her commodities to Kasunganyanja market; He/ she came angrily to find out wby my child hit his/hers
enzira-kabi	A holy person
omuntu obu aba aguzire orugoye ruhyaka anttiika	When a person buys a new cloth he/she gets infatuated with it
ekigwererezi	Accident, unexpected problem
ebisaaru	Reedlike swamp grasses
akabubi	vagina Hymen: membrane
Bahemuka ataahiriirwe abasuma	Last rught burglars broke into Bahemuka 'spouse
enkerembe	Infant, baby
amazina	Dancing styles
amakara	Charcoal
ekibbaali	Spirit shrine for twins
ensaija	A animal male
etooliikn	To skilful, be romantic
ebisinjo	Rage: violent uncontrolled angers
tunguka	To grow tall
fa	To die, be destroyed, become useless
ensolima	type Large of rat
buraaro	Lodging
ekisombera	A very large basket
bugumizo	Forge
ebendera y 'ekitebe rundi ey 'ihanga bagitembya nyenkya bagihanuura rwebagyo	The flag of an organization or of a nation is hoisted in the morning and unhoisted in the evening
foorogora	To change butter sauce from pot to bowl and bowl to pot till water in which butter is being cooked has changed to white
ebihya	New things
ekijinja	A seasonal swamp
jagaraza	To excite, spread out fingers
tungeera tunika akamusanga amutungamiire naamuniga yamuteera 11'omwigo; ente etungamiirwe entale ogijunira entale etakainamire kugiruma	He found him on bis top chocking and him for that reason he beat him with a stick; If you are to save the life of a cow that has been by attacked a lion one has to do so before it bows down to bite it
buso-bwa-ntaama	Head on collision
bigo	Place, city
ebikorwa	Deed, acts
ebibunu/ebitiri	Buttockses
obutindinda	Small snails
ekijunjuuzi	Beetle
emitumanyuma	Between the blades shoulder
obusisira	Small huts
ebitindiriro	Millet drying racks
Bikwebe	A response
ebijwaroebimu bijunjubaza omuntu	Some clothing make someone look big very and fearsome
ekijinja	A swamp seasonal
jumbuza	To make an early start, visit a neighbour very early in the morning
amagana	Hundred(100), wealth
amagun1; e11yama y'ekisoro bagitambuurra omukisaka; enyama y'ekisoro ky'omukisaka etamburwa hali abo bonka abagihiigire	Stride; Meat from the carcass of an animal killed by bunters is while distributed the hunters are in the bush; Meat of a hunted animal is shared only among those who participated in the bunt
esingoleza	To sweep idly
byorwaoju	Immorality
bukigi	Trypanosomyasis
ebitenterezi	Kind of birds
bwagura	To bear (puppy, cubs)
tamuza	To remove sucking calf from one teat to another so as to induce in milk all teats
tencekana	I., ( -teneekaine) pf.
nangwa	a negative
ensaasi	Illness of king only
ekihongole	Shade for calves
to make enter; akataahisa empisi obugenyi. Barwenda invited a hyena to a wedding	wedding; Attend (he that wants trouble)
bomwiboolezo	Market toll collectors
empunu ziriya ebisigirwe byo'mukicumbiro	Pigs eat kitchen waste
tema	To be crooked (weaving of mat)
amaizi gatuumibwa omuurro ogw'amaani; ebisus11 obu obinaga omukiikaro kimu buli kiro bituuma	Water is made very hot when boiled by a strong fire. Tuum a, ku-, oku-, v.tr; When is poured in one place daily it heaps up
naaseerra omuntu w 'okummemereerra ebitooke; abanyoro bakasanga ebitooke biri omwirungu; ebitooke bye byamara emyaka ebiri bitakatemererwaga	He/she is looking for a person to free his/her plantation of weeds; Babimutemereza, the chiefs found his/her banana plantation overgrown with weeds and they him/her to free it of them, pass. Form, temererwa, oku-; His/her banana plantation has spent two years without being freed of weeds. Tengeetera tereza omusisa obu g111eera ensi yoona etengeeta, when the ea11hquake passes by, the earth
cumuka	To grow tall
jurubana	To be smeared all over, dirten yourself with soft mud from cattle dung when clearing it
tegana	To be busy, very be bothered
ebihuguhugu	Bats
talika	To dry meat over the fire grill
abasaija abagira engeso y 'okubajabuurra enjara obu eba ebali kubi; amujabwize ebyokulya bitakahiire	Ear, etc.), crop (ear), break a piece off; Some men are in the habit of asking their wives to give them food while it is being cooked when they feel hungry; He has made her to give him half cooked food
tunguurra	To begin to form (grains millet, of etc.)
egaaju	A brown cow
empeereza	Service
jumbuurra	To give a child medicine (from mouth to mouth)
erangi z'omukeeka gunu itabire	The colours of this mat are mixed up
kwatwa omuro	To catch fire (house)
agange	Mine
ebireere	Dry banana fibreses
tebeekeza	To learn (how to do) properly
tumasa orwezo	We spread manure on the garden
ekijumo	An insult, an abuse
bunyuunyambuzi	Plant like clover
kujokoza	Continuous disturbance or provocation
enyama	Meat, muscle flesh,
ahonaaho	At that very moment
tengeetera	: to tremble, be shaky (as fromage).abcm111 tibalyanabakobaabo habw ·ok1111111a kutengeetera, people do not eat with their sons in-law for fear of getting a shaking disease
abaleesi b'amaizi ira baayetwekaga ensoha bazitungukiirraho ekintu ki11di	Water carriers ago used to carry water-jars and then put something else on their tops
fuukeera	To breathe with difficulty through the nose, snore, have nose stopped up
bbasitooro	Pistol, revolver
ebindi	Others: the rest
ekijaju	Exaggerated information
ensorooza	Collection
toonyeza	To dot, mark or tick off
obujunde	Stench: an unpleasant smells
Mukama akagamba ali Weena anya kutaatii"a obw 'omeezi bwe alibufeerwa	, the Lord said that whoever worries about his/her life, will lose it
ebikondo	Milestones
ekikoikyo	Riddle
tahuka	To stagger, be weak (after purge)
ebitiinisa	Glory, honour, respect, reverences
ebikoco	Old emanciated cows
ensoha	A clay water pot
biguuna	Ring conn
esweta	Sweater
engondo	Cuts on the
turuotuka	To get out ofline, get in front
bugendandara	To walk sluggishly
Ekumba	To join with others
ebikarakate	Ish scales
Ebabara	To beware
obusera byo'buro bwine	Millet porridge is nutritious
bbooda-booda	Bicycle or motorcycle taxi
ebinosi	Protuberance above navels
bisonde	Syphilis, yaws
fuuhiza	To say God forbid
juuka	run To from away the herd or other cattle
esabbuuni	Soap
amasa	Nothing, emptiness
bwegesibwa	Civilization
ekihika	Expectation, curiosity, longing for
jonjoma	To talk in a husky voice, mutter
akatukumira kurora abasen1kale baizire muka ye; emundu niyo etukumya omuntu; akamara ebirobibirinaatukumira	He/ she trembled on seeing soliders at bis/her home; It is a gun that makes one tremble; Be/she shivered for two days
nkitaire hameeza; nteera ekitabu kyange kinu hameeza; omukono gukateebwaho omuhilcirwa. the Prime minister signed. -ta	I have put the book on the table; Put this book of mine on the table; \ Modal particle, that requires a subj. Personal prefix or pronom. Concord to express an intorogative adv., meaning, how? Abakazi balima bata? How do women dig? Ente zijuga zita? Bow cattle mow? Oroho ota? How are you? Taaba, e-, n.cl.9
ente buli neekuseruza obulemu	If a cow snorts at you it is a sign of challenging you for a fight
turukya	To bring or take out, eject
tuna	To gaze, tuna stand tungalllira motionless
Efoora	To pretend to be
ensohera	Housefly
ebikorongezo	Torches
ebijogojogo	Snail shells
naaseerra omuntu w 'okummemereerra ebitooke; abanyoro bakasanga bye ebitooke biri omwirungu; ebitooke byamara bye emyaka ebiri bitakatemererwaga	He/she is looking for a person free to his/her banana plantation of weeds; Babimutemereza, the chiefs found his/her banana plantation overgrown with weeds and they forced him/her to free it of them, Form, pass. temererwa, ku-, oku-; His/her banana plantation has spent two years without being freed of weeds. Tengeetera tereza omusisa g111eera obu ensi yoona etengeeta, when the ea11hquake passes by, the earth qunkes
Enderalera	Lower part of abdomen
tiika	To dote on, be infatuated with
ebisyarazi	Stagnant waters
engambisa	Vowels
banu	These ones
twekera	To send to, to take to, carry
obugemo	Force,compulsions
butooganiro	Excuse, defence
boobeera	To thoroughly cooked
ebinuuko	Stench: a bad smells
ensiisira	Temporary shelter
ebisurugutururu	Ear wax
amaiso	Glare, stare
turuka	To go or come out
akaimeeme	End of breastbone
akatukumira kurora abasen1kale baizire muka ye; emundu niyo etukumya omuntu; akamara ebirobibirinaatukumira	He/ she trembled seeing soliders at bis/her home; It is a gun that makes one tremble; Be/she shivered for two days
akacancabari	Rags:an old torn cloth
bugunule	Insolence
taliiriza	To turn a side, avoid
akarabya nwtoko ye omumaizi g'omuruguudo amaizi gaataraaldra abantu	He drove his/her car through a puddle in the road and splashed waler on people
ebyeera	Albinos
jungm1rra omwana obuheke bw'oburo a/ye	Rub in the bands husked millet grains so that a child may eat some. Jungi sa, ku-, oku-, v.c
teodcbeka	To put in a difficult position, an impossible
bisiyaga	Sodomy
tumya	To send for from a distance
ebyenju akaba aba/eetiire bikatugunjukira omunsahu	The ripe banana he/she had brought them were in squashed the sack in which they were packed
taisa	To drop, miss, fail to hit or catch
tandika	To start work, start to narrate, begin a job etc
ekikumu	Toe or
taama	To be clumsy, careless, stupid
akasengijo	A sieve
Egema	To bend, be
obu haizire ibura ly 'emikubi abantu batwnbikaga ebitooke hakisura nmdi ha kaamurali enyakuseeriilwemu ekisura	When relish was in scarce(sauce), one would dip plantain into salt with ground pepper
empuule	Unground millet, loose grain
omusana gutuuyisa omuntu obu agukoorraamu emirimo	The sun beat will make a person sweat if he/she works under it
burundu	Smallpox
ebigere	Foot, foot prints
kujokoza	Continuous disturbance or provocations
junga ekikoomi baataireho ebinyansi bibisi kikajundeerra ebiro bibiri byona; bakata ebiti bibisi omumuurro ogurukubuguma byagujundeeza	A burning heap of grass to which wet grass was added smouldered for two days; They put fresh wood in the glowing fire and made it smoulder
ekisalizo	Machete
botumwa	Conunission,apostleship, ministry
empitmpina	Chameleon
ensaali	Loquats
engonero	Secretion from the mouth
tigita	To tickle
enombe	A soft red clay
bubudamo	strength, Reliance,security, refuge
ekibwana	Puppy: a young dog
engenzi	Traveller
enyabisaaniko	Evening star
ebimeeri	Friendship without blood- brotherhoods
jabuka	To be chipped, broken.
akanyuunyarume	Shrub eaten by goats
ebiisurumba	Waterfall, rushing floods
ebihuurika	Absent minded persons
tweka	To send, cause to conceive (by fornication)
Vv vanjiri	E-, cl.9,, gospel
eriigenda	These days, nowadays
embatamo	Extended flat bums
burumi	Ache, pain
ebikoikyo	Riddles
tucumba omuceri buli kiro	We cook rice every day
Ekeerreema	To reflect_ ponder
bikumi bitaano	Five hundred
amasanyu	Leafy twigs, foliage
burungutana	To bustle about, hustle
emitego	Bowed legs
ebisosonkoro	Empty match boxes
tukozesa ekisalizo okuhunjya ekisaka	We use a machete to clear the bush
ekimara	Arrow
tunguuta	To shake, wobble
kukaba	To challenge
Ekuuyuuya	To shade wings (termites)
