muhogo	throat
teerereza	do not overdo it
akateererereza omumaiso g 'omucwi weemisango nkook11 atarakikozire	he/she/it is looking at he/she/it is looking at
teereza	take into consideration
omuntu amaju; amaju akagamllteerereza omukaju aka akaba atamkusobora kutaahamu atatiize maju; akaju kafimzire nuko kaamumuteerezeseze amaju	a person's face; a person's face touches a person's face; a person's face touches a person's face; a person's face touches a person's face; a person's face touches a person's face; a person's face touches a person's face; a person's face touches a person's face; a person's face touches a person's face; a person's face touches a person's face; a person's face touches a person's face; a person's face touches a person's face; a person's face touches a person's face; a person's face touches a person's face; a person's face touches a person's face; a person's face touches a person's face; a person's face touches a person's face; a person's face touches a person's face; a person's face touches a person's face
teerra	teerra
omuhanda gurumu ebisaabu guteerra	a mathematical formula
tega	to listen
omwinvarro akarugamu atakategere; t. enkarwa; ekiraba haigunt bakitegera hansi; ebisoro eby'amaani muno babitegesa ornuliiti	the bird that flies without knowing; t. enkarwa; the bird that sees haigunt still knows; the powerful animals here are called ornulit
tegana	do not give up
teganiza	do not be discouraged
tegeekaniza	be prepared
tegeijuka	unforgettable
tegeizira	Do not be afraid
tegeka	organizing
tegereza	to observe
omufumu abarwaire bakamutegerereza aheeru y 'ekisiika /eye; bakabiiltirwa tcgura temb kubategererezesa busa omuge11yi atarasoboirekwija; mukun1 w 'ihanga akategerezibwa abontu yaraganiize kubungira	the king who was ill and they asked him to stay away from the clan; they were told to stay away from them before he could go; the ruler of the country, who was understood by the people, refused to go
tegura	be prepared
nooyetaaga omuheereza ow 'okukuteguruurraaga engoye zamve; genda oteguze mugenzi waawe ebintu baliiriireho	You need a servant to make you a new garment; go and buy food for your neighbour
teguurra	does not feel
omutego bakaba bategere	a snare
teka	not marry
televizoni	television
tema	role
banza osambuu"e omukeeka ohike eldikaro gutemiiremu nukwo oguterekereze; ob oruka omukeeka otagumize enkindo ogutemya; tali niinyowe atemeze omukeeka gwawe; t. ekiteega; naaseerra aw'okumwemere emifiye; enjoka ekamutemera omum11siri naalima; abasaija emiti bagitemeseze e11de11111; ayatemerwe enjoka atiina omunya	go to the elevator and stand there and think about it; when you run to the elevator you don't hold the palm tree; it's not you who's cutting your tree; t. the elevator; I'm coming to take shelter from the dead; the snake that bit him in the throat will bite; the woodcutters will cut off the tree; the snake will not bite you for fear of the prey
tematemura	do not cut
ekiniga kikamutemuza ebbaruha ezi akaba amuhandiikiire; emiti y'ebijuma abaana bagitembera tembeeka temeerra kugicwaho ebijuma byayo; embogo =ikabatembesa omuti	anger tears away the letters he wrote to her; the trees the children walk past never cease to bear their fruit; the tree trembles
tembccka	not
0111ura11111zi akakizoora nkooku eki11111yamugambireho eki akaba akinmtembeekere kwonka	0111ura11111zi akizoora kokoko the11111 told him what he was waiting for
tembeerra	not always
noobu e11seene11e baazaahuragaliaiguru kwinganaki	how long will they be in heaven?
tembeerra	not always
nyineeka aJemberiirwe nuwe ogu ow'omusaija mugenzi we aihireho mulcazi we	mother of the deceased is the wife of the deceased's husband
tembekaniza	make plans
tembura	not to touch
temburuka	not be discouraged
omwana mukuru tayetaaga muntu ow 'okumutemburuya hakitabu	an older child doesn't need someone to guide him
tembya	a newborn
ebendera y 'ekitebe rundi ey 'ihanga bagitembya nyenkya bagihanuura rwebagyo	the national flag is flown at half-staff
temeerra	do not give up
naaseerra omuntu w 'okummemereerra ebitooke; abanyoro bakasanga ebitooke bye biri omwirungu; ebitooke bye byamara emyaka ebiri bitakatemererwaga	I hired a man to take care of his figs. For two years his figs had not been cut.
tengeetera	do not
tengeneka	unreasonable
tenta	try
ekinfll kitentera nambere haba heculikire; Wakame yatensaaga ebibaale bigya bileera ayabaga aizire kumukwata	The infl descends despite the cold; Wakame shoots the bullets until he catches him
tentebuka	to get up
leka kungambisa akasozi nikantentebukya	don't make me move the hill and slide
terebera	look at yourself
akaterebeerra kutaba na numtu w 'okumwekambisa kukora emirimo; omunlu kwikara omukitabu abyamire esaaha zoona kimuterebeza; ogu akaterebezibwa obugara	Do not let anyone deceive you. Keep your head down, be quiet, be self - controlled, be self - controlled, be self - controlled, be self - controlled.
terebuka	remember
akaterebukira hakasozi yagwa yahe11deka; akaba naija kwombeka omurubuga abazaire be baamuterebura	he jumped off a hill and fell to his death; he was going to build a city that his parents had warned him about
tereekeerra	not too late
enju enyakwombekerwe hansi etereekeriire etwara sellle nke	a flat-roofed house contains fewer cells
tereoganiza	do not plan ahead
abantu baJerenganiriza obutamanya	people are ignorant
tercza	tercza
temera	not stop
obu okaba orwaire obotao/11 11ubo boomutemeriire ebihimbo bye; obokozi bagen:u benubo baomulemiize ebihimba bye; ebihimba bye bikatemerwa obaraahi	When you are sick, you will cut off his limbs, and he will be healed. When you are sick, you will cut off his limbs, and he will be healed.
temuka	not run away
temura	do not
okomunyegeerra hobw 'okumutemuurro ekiteeteei; ekiniga kikamutemuza ebboruho yamuhondiikiraga zoona	to know him because of his unprovoked murder; anger makes him angry all the time he listened to him
teoda	theoda
abatenzi batendeso enkindo nmdi e11duko	the coaches coach the team in the 11th round
teodcbeka	theodcbeka
amutendebekere egaoli enyalmfiire yatumkya sente ezi ateetegekere	he's waiting for the dead man to come and get the money
tendeka	make a plan
tencekana	be quiet
teoeekaniza	unprepared
teneka	to be quiet
mwije muntenekere omusiri gwange gunu; enfuka ya kidim11 niyo ebo mmgi kutenekesa omusiri	come and fix my garden; the garden bag is the only way to fix the garden
tenga	cleanliness
tengeerra	do not
tengeesa	do not try
tengeeta	do not
orubengo nve bakaruterereza omubugenyi	the grinding wheel and the spinning wheel
teruka	run away
obu yaboine omusango okugurukwija kum11si11ga ebigambo yabiterukaho	When he was convicted of a crime, he was sentenced to death by hanging.
teruka	run away
terura	fear
teruurra	does not kill
tesa	shake
teta	cut off
abaana abaingi obu baba nibateta	many children when they are being bullied
teteerwa	not given
omuntu obu aba naija kukora ekintu omutima gwe gukateteenva eki aba naagya kukora akireka	when a person decides to do something that his heart tells him not to do
tetera	not often
abakazi ba/ima bari; ente zijuga ziti; ngambire nti; embuzi ekatigira ha kwambuka ekisam·u; amaizi g'ekisaaru nugo gaagitigize	women of/imma bari; cows mow what; I say; a goat that does not dare to climb the mound; water of the brook and water made it
tiganda	not a brother
munywani we nuwe yamut1gandisize enju ye egi	a friend of hers left her this house
tigika	be careful
akamweta kwnutigikira enju ye	invites her to come to his house
tigita	the tiger
tilhiika	to get rid of
ebyokulya ebyamurwaize akabimutiihiikira owaabu	food that he ate that he ate that he ate that he ate that he ate that he ate that he ate that he ate that he ate that he ate that he ate that he ate that he ate that he ate that he ate that he ate that he ate that he ate
tiika	type
omuntu obu aba aguzire orugoye ruhyaka anttiika	when someone buys a new piece of clothing
tiikuruka	does not move
tiima	do not
enyama y 'omwihuki w 'amaino baakugitiimirege; haroho obwoma abantu obu batiimisa enyama	The meat of the toothbrush is frightening; there is a fear that people will stop the meat
tilna	not
tilniirra	not crying
omusaija akatiiniriirra mugenzi we omwirungu obu bagiire kuhiiga embogo	a black man shouts at a white man after a fight
tiitilra	fear
akaana k 'enkoko katiitiirre omu mapapa ga nyinako; engoye ze nizeera tiitiiti; ebirika bifuka tiitiiti	A young hen does not crawl in its mother's wings; her clothing does not shrink; her feathers do not shrink
tiiza	do not
timba	wood
ebitakuli bito babitimba kandi ebikuru babiteera n 'efuka	the small ones are put up and the big ones are put in bags
timbun	the timbun
tinda	work
engoye obu ozoogya otaimaziremu shake about; t. ekitabu	clothing that you wear that you don't shake about; t. book
tindikuurra	I don't want to
tindura	to look at
to nibaririiha kukira aho; ebintu byakyo byona	will not pay more; all its assets
tirimbira	does not sing
okutirimbira na kwo k 'okuroorraaho to make to remove thfogs for cleaning kook1Jsemererwa kw 'abaana	to make to remove thfogs for cleaning kitchen
titima	the train
orubaa/e ob11 ruteera ebitooke ebyanire rubititimya	the red/e ob11 produces red-brown spots
titira	fear
atiina kugenda omukibira nyenkya kara kutitiirraamu; aban/11 bakira muno kutobeerra omubisaaru ebirumu ama/ehe	fear of going to the bathroom tomorrow is not good for you;
tobeza	do not make excuses
obu yasangireamazire irakutobeza enyungu yamuleka yahotoorra kimu	When he got tired, he got tired, he got tired, he got tired, he got tired, he got tired, he got tired, he got tired, he got tired, he got tired, he got tired, he got tired, he got tired, he got tired, he got tired, he got tired, he got tired, he got tired, he got tired, he got tired, he got tired, he got tired, he got tired, he got tired, he got tired, he got tired, he got tired, he got tired, he got tired, he got tired, he got tired, he got tired, he got tired, he got tired, he got tired, he got tired.
toboka	do not
toga	not to
kutoga kugenzire nikukeeha omumasomero	not being able to do school work
togatoga	don't take it
togolekwa	do not be deceived
omuntu atogo/ekwa obu aba naabaza ebitarula11eerana hamu	a person who asks more than one question at the same time
togonyora	don't get carried away
togota	do not dream
ebyokulya ob11 baba nibabicumba bikatandika kutogota buli biri haihi kuhya	food is usually cooked in a bowl and then cooked as soon as it is hot
toha	toha
toibya	do not steal
toija	do not come
toka	right
akatokera omukooti om11ramL1Zi yamufubira; rediyo obu agitokesa muno ebuza abarukubaza obusinge	The court heard that he was being chastised; the radio station heard that he was being chastised.
tokeerra	do not give up
tokolekana	not break up
amaa1wa gatokolekaniza abarukuganywa	1 hour to pick up the oppressors
tokoma	do not stop
tokomera	do not be stubborn
tokomeza	do not continue
tokomoka	do not run away
tokoora	not work
akatokoora	coconut
toma	thomas
Eryato likadikira abakaba bafirumu boona baatokomera omunyanja; ayayokeze enju ye nuwe yagondeze okutokomya ebintu bye; ebintu by'abantu bikira okutokomebwa omu11rro rundi enyanja	The ship will wait for all the pilgrims crossing the sea; he burns his house and wants to burn his goods; people's goods are better than being burned in the sea
toma	thomas
tomera	not grow
akatomera ekisiika omumwirima naagya kubyama; akavuga motoka ye atamiire yagitomeza ekisa ky 'oruguudo	he lights a window in the dark to go to bed; he drives his drunken car to the side of the road
tona	before
tona	before
abantu abamu batona amajugaabo n 'inoni; obu oba otaina rangi y' Ekijungu noosobora kutonesa inoni	some people color their eyebrows and eyelashes; if you don't have a black eye, you can color your eyelashes
tonda	thank you
orusu; 1. obusegu; t. omutima; akeeta abanyaruganda kwija kumutondera omwana	orusu; 1. sex; t. heart; summoning relatives to pray for the child
tondera	to be obedient
abantu abandi tibeetaaga kubatondera ebikorwa by'abany abuzaale baabo ebibi	people do not need to apologize for the sins of their ancestors
tondogoorra	don't be shy
oburo obwasigaire omumusiri butagesirwe babllf ondogoroiremu bwona bwalrwamu; akanga kutondogoorra byona ebyarugiriif weho okunobangana kwabo; akaragira abaana be kugenda k11tondogoroorra nyinenkunt bo oburo abagesi obu baasigire omumusiri	The remainder of the time the monk is not allowed to tell the whole story; he refuses to explain everything that happened to him during their encounter; he tells his children to go to the monastery to tell their grandmother about the time the monks left the monk
tondooka	not falling
tondoora	to explain
akabasaba kumutondoorra ebihimba bye	ask him to remove his limbs
tondooza	do not
ibanja lye akalitongera omwaka gwo11a	his debt that will add to your year11a
tongana	when
omusango gw 'okwonesa akagutonganira omwaka gwona; akamutonganiza habw 'okumwoneseza; biro binu emisango etongamva abatonganirizi	the case of 'healing he pleads with you all year; you accuse him of defrauding him; now hear the judgments of the plaintiffs
tonganiirra	not argue
akasinga omusango lwbwokuba akaba aina arukumutongoniirra; akamutonganiriirra omukooti enkuru; atonga11iriin1•e abato11ga11irizi basatu; Bakatutanga kuto11gyatongya ebintu bingi obu turaabaga nitusaba; ekizina kyabo kikaba kiri kinmgi f..yonka kikaburwa ow 'okukitongeerra kunmgi; bagamba bugamba ebigambo ha kintu; abazim abataina mutongerezi basaba omuntu w 'okubatongereerra; ekizina kitatongeriirwe tikyoleka kunmgi ekigendererwa kyakyo	he was convicted of blasphemy; he appealed to the supreme court; he appointed three witnesses; they read aloud many things when we were praying; their name was the door f.. but it was impossible to put it on the door; they said words on something; the builders who did not have a priest asked for someone to speak for them; the dance that was not performed did not reveal its purpose
tongora	the tongue
ebihimba bye asangire babitongoiremu ebibaire byengere byona; Byakunaga akarwanisa Byenkya habw 'okutongora mukazi we; abaatongoire ebihimba bye bakabitongoorra omunjura eyasiibire neegwa	All the parts of the body he finds are to be cleaned; Byakunaga fights Tomorrow for his wife's sake; those who cleaned his body are to be cleaned
tonokora	not to work
obu arubata ekihooya kye kitonokora; tonokya toooyeerra akatonokoorra omu111uhanda naagya omwirwarro	when he touches his tongue that does not work; do not touch his tongue and do not touch his tongue in the street when he is sick
bakaba nibazaana owanyina yamutonokya ekihooya yatandika kurra; akamutonokeza omukizaaniro nibazaana; atonokiibwe mugenziwe obu babaire nibazaana	they were a girl whose sister broke her neck and she started crying; she was a girl whose father was a boy; she was a girl whose father was a boy
tonta	to kill
omwana onu akatontera kutaliisibwa kunmgi; kwikara nooteera omwana ogu nikwija kumutonsa	the child is often not fed; sitting next to the child will make him sick
tontera	not often
tontoma	don't give up
nkahuurra abantu abarukutontoma aheeru; 11/cagonza kumanya kiki ekikaba nikibatontomya	I hear people whispering outside; 11/want to know what is causing them to whisper
tontorrooma	notorious
abapagasa babaire 11ibatontorrooma habw 'esaaha barukumara hamulimo	employers have 11 employees due to the hours they spend at work
tooka	do not
iba akamutookera esaaha ya hamukono hakiro ky 'okuzaarwa kwe; omubusinge bwa ira ebintu ebyatookwaga byali bike muno	She was born in the early hours of the morning; the amount of food she ate was very small.
tooliika	do not be afraid
toonya	do not look for
akaikaarra omukiikaro ekirukutonywamu amaizi gobwiriza; ekisisi ekinimu akah11r11 kitonyesa amaizi; amaizi nigasobora kuba nigatoonyesebwa akahuru akataigaliirwege	A water dropper is a water dropper; a water dropper is a water dropper; water may be a water dropper
toonyeerra	do not look for it
toonyereza	do not investigate
akatonyererezahabugenyi bwa munywani we Birikumwoha	a friend's invitation is not good for him
toonyeza	do not show
kakuba oikaarra hansi y 'orugoye n1bisi orohanikire nirukutoonyeza amalZI; abapagasa eki babatoonyereza nukwo kugonza kumanya ebiro ebi baakozire n 'ebi bataakozire; abaana abarukusoma omugigi abandi batonyezibwa buli kiro kya Sande	If you sit under a sheet of cloth and have a glass of water, the researchers want to know what you did and didn't do; schoolchildren are washed every Sunday night.
toonyoroka	do not run away
anyakwigamire enjura obu aba naagenda hara tagidndiirra kutoonyoroka	he who walks in the rain will not run away
toonyorrooka	do not give up
haroho engoye ezanguha kutoonyorrooka obu ziba zijubire n 'ezitanguha; orugoye onijubire rutoonyorrookera hamuguha rohanikire	They wear outer garments that will not wear out if torn or torn; they wear outer garments that will not wear out if torn or torn.
toora	not marry
obuhya bwe butoize embogo; kinu ekipanga kitoozebwa muyamba	If the sword is not sharp, the sword is sharp.
toora	not marry
Sande nayo etooza abantu baingi; abantu batoozibwa muno ekiro kyamazaarwa kukira ebiro ebindi	Sunday is also busy; people are busy here at night more than at other times
toora	not marry
katoora ente nyowe nkatoora amasa	I pick up the cow and I pick up the milk
toorana	to marry
toorra	toorra
toorwa	to be chosen
tooza	do not try
torooga	do not dream
enimi obu etemba ente e/.:11/ize; eme ze niitoroogebwa ibura ly 'ekisura	the tongue when the cow e/.:11/ize; the mouth will be cleaned by the skin of the face
toroogereza	do not talk too much
omwisiki anyakutoroogerezi ibwe obu atwara enda olmzaara kwe kutuntuza abazaire be	a miscarriage is a tragedy for her parents
torotoro	torotoro
totatota	do not become complacent
tosatosa	do not be short-tempered
toteerra	do not give up
ensaano y 'oburo akagita omumai2i agagihinguraine	the weight of the urine is less than the weight of the urine
akaburwa ensaa110 y'okubutotoroza	110 hours of cleaning
totorrooka	do not be discouraged
Otwana tw 'embeba batwisire	The young birds of the air
tuga	to teach
obwenju bwa sukaali babut11gira omubuhunga bwa muhogo nukwo battmgemu ekibumbe ky 'olatcumbamu kabaragara	The sugar is added to the nasal cavity and the shape of the mucous membrane is removed.
tugika	we are fit
omutongi atugika omunyaibanja ou arukwerengeerra	a judge who forgives a debtor who defends you
tuguUkwa	to give
abaana baahaburwaga kutatug11likwa hagati y 'abantu bakum; akatugulikinva omumaiso g 'abagenyi baamufubira	children were left unattended amongst the people of the village; the young man's eyes were closed by the guests
tuguojuka	we are drowsy
ebyenju akaba aba/eetiire bikatugunjukira omunsahu	the house he/she/it is staying in
tuguojura	to fill
busaho muntu anyakugonza kutugunjuurra ekintu omungaro ze	a person who is willing to open his or her eyes
tugunya	fearsome
akagwa hansi nibairuka bagenzi be baamutugunya	he fell to the ground and ran away from his friends
tuka	get up
embwa bakagitukira busa ngu ebwagwire obwana mukaaga kamu yaka/ya	a dog that is only 6 years old
tukiriza	we believe
naatukura tuktt	the red turtle
tukuma	we protect
akatukumira kurora abasen1kale baizire muka ye; emundu niyo etukumya omuntu; akamara ebirobibirinaatukumira	he tells us to see the old man come to his wife; the gun is the one that makes a man sick; he tells us to get rid of the germs
tukura	growing up
tulingika	we know
akaba naatwana; bakamutulingikisa om11guha gw 'obugoigo	he was a soldier; they put him in a cage
tuma	to send
mukama w 'amaju akatumira abapangisa be omutabani bam11he sente ze ez 'obusuuru; omusuubuzi atwnisize egaali ikumi; ebihimba obu babita omumaizi bitumba; t. ebigambo	The owner of the vineyard sends his son to his tenants to give him ten talents; the merchant earns ten talents; the tenants call the tenants tenants; t. words
tumbika	to establish
obu haizire ibura ly 'emikubi abantu batwnbikaga ebitooke hakisura nmdi ha kaamurali enyakuseeriilwemu ekisura	When the rains came, people would dress me in black, and I would look in a mirror with my face covered
tumbisa	praise
tumbuka	get up
akagonza kumanya omubaana owanyina aba yasigire obu haraaba haru111u omwana atumbukireho	he/she wants to know the child he/she has left behind
tumbura	the rain
abasibensi kukora n 'amaani nikyo kitumbuza ekyaro /.y. abo	The people who work hard are the ones who make the village grow
tumburuka	get off
oburo obubaire nibusisa nk 'oburaasiriira hati butumburukire	a flower that used to be a flower that is now a flower
akamutumiririza kutagira mwana ondi ow'okutuma	asked him not to send another son
tumya	to send
tuna	tuna
tunama	we bow down
amagufa gakamutunamira enaku	his bones are crushed with grief
tunda	leave
omutabani nuweyamutundiire embuzi ye; omusoro nugwo gwamutundize embuzi ye	the son sold his goat; the tax he sold his goat
tundubara	to be seen
omuntu atundubara obu aikaarra omubantu akatunuurra kwonka ataina kintu kyona eki arukubaza	a person who is irritated when someone looks at him but does not ask him a question
tundubika	seemingly
tunduka	run away
tundura	clean up
tuoga	to wash
abantu kwonka abairu baabatungiraga omubulemu; mukama we akamutungisa; akamusaba kumutimgira enkwanzi ze; aikaire naatungisa mugenziwe enkwanzi ze	But when the people saw that the servant was lazy, they rebuked him and urged him to stay away from his neighbors.
tuogama	name
akatungamya omutwe gw 'ekifaalisi hakitabu n 'ekisago	he crushes the head of the Pharisee with a wound
tungamira	lead
tungeera tunika akamusanga amutungamiire naamuniga yamuteera 11'omwigo; ente etungamiirwe entale ogijunira entale etakainamire kugiruma	wearing a tunic when we find him wearing a tunic we put him on a leash; the cow wears a tunic when we see him wearing a tunic when we see him wearing a tunic we put him on a leash we put him on a leash we put him on a leash we put him on a leash we put him on a leash we put him on a leash we put him on a leash we put him on a leash we put him on a leash we put him on a leash we put him on a leash we put him on a leash we put him on a leash we put him on a leash we put him on a leash we put him on a leash we put him on a leash we put him on a leash
tungeera	we are
tikiri kirungi amaizi kutungeerra haihi n 'eka; ezigati eteeculikire etungeeza amaizi	it is no longer good for water to run near the house; unwashed pancakes clean the water
tungikiirra	keep it
abaleesi b'amaizi ira baayetwekaga ensoha bazitungukiirraho ekintu ki11di	ireland's fishermen used to carry elephants with them
tungira	build
ebyokulya ebirukucumbwa obu obona byatungira; munywani we nuweyamuhmgiire omulimo	food you crave when you're hungry; your friend has given you a job
tungirwa	to be borne
tunguka	get up
tungununa	find out
tungura	take the lead
abasaija baat1mguruurra bakazi baabo enfuka	husbands open their wives' mouths
tungurruuka	run away
tunguurra	weighing
oburo butungmwire abaana batandike kubulinda enyonyi; akamweta kumutungurourra enkwanzi ze	When the time is right, the children will begin to watch the bird; he calls out to his friends to guide him
tunguuta	weeping
tunguutana	when we meet
obu babutikira omuntu antkutukumira ebyokwesweka bingi atunguutana	a person who hides a lot of things from me
tunjka	toothbrush
kutunikira omuzaire 413 tuntumuk a ekifuba kitwarwa nk 'ekintu ky 'emigayo	413 tons of breast tissue is carried as a kidney
tuntumuka	get up
akahuniirra kusanga emiti yabyaire omu mwaka gumu guti	a tree that grows in the same year
tuntura	look at
Mukama akatutanga kutunturuurra ebintu by 'ensi	The Lord warns us against the things of the world
tunuurra	be careful
bakabasoboorra bazaire baabo ekyabatunuliize akanyonyi akembaganiza	they're crying out to their parents why did they look at the bird
tura	weary
abakozi ekibatuza nyenkyakara nukwo kusangwa baakora izooba litakatembere	workers are more comfortable if they work before the sun goes down
tura	weary
tura	weary
turo	the tortoise
turuka	run away
orufu; orufu orw'omusaija baruturuk-ira ebiro bbina kandi orw 'omukazibisatu; anywire omubazi ogurukutun1kya; mulllrukye omulumbi; turul..ya omutamiizi natalibaniza abanlu; orufu rwe n1latun1kwe habwabandi abarwaire abakaba bali omuka	death; the death of a man after four days and the third day; drinking a glass of wine; drinking a glass of wine; drinking a glass of wine; drinking a glass of wine; drinking a glass of wine; drinking a glass of wine; drinking a glass of wine; drinking a glass of wine; drinking a glass of wine; drinking a glass of wine; drinking a glass of wine; drinking a glass of wine; drinking a glass of wine; drinking a glass of wine; drinking a glass of wine; drinking a glass of wine; drinking a glass of wine; drinking a glass of wine; drinking a glass of wine; drinking a glass of wine; drinking a glass of wine; drinking a glass of wine; drinking a glass of wine; drinking a glass of wine; drinking a glass of wine; drinking a glass of wine; drinking a glass of wine; drinking a glass of wine; drinking a glass of wine; drinking a glass of wine; drinking a glass of wine; drinking a glass of wine; drinking a glass of wine; drinking a glass of wine; drinking a glass of wine; drinking a glass of wine; drinking a glass of wine.
turukya	to hate
omuntu asisikaire enda aturukya orwoya rubi; akanga kuruga omwofiisi ye yayeta poliisi yamuturukya	a person who is pregnant has a bad smell; refuses to leave the office he called the police
turumuka	we get up
omunt11 alakozesa mubiri gwe aikara aturumukire	a man who uses his body to jump
turuotuka	it does not
turuukana	to run
kiba ky 'engeso mbi kutaaha enju y'omun tu okagit11ruukana otaina owoomunju weena akwebembiire	it is a bad habit to go to someone's house and just leave it unattended
torukwikirizibwa kuturuukiriza omutwe gwawe omwidirisa /ya motoka erukwiruka	you are not allowed to lift your head to the window of a moving car
tutubara	painful
tutubika	appearance
tutumbuka	flowering
(p f. -tutumbwire)	(p. f. - tell us)
tuuba	weed
tuukuurra	we hear
amaizi gatuumibwa omuurro ogw'amaani; ebisus11 obu obinaga omukiikaro kimu buli kiro bituuma	The water is heated by a powerful fire; the water is heated by a single spark every night
tuumuuka	when we wake up
tuura	to be
atwire hakyaro hanu kumara obusumi bwingi baitu titukahuurraaga ngu aibire; ekyamutwize hakyaro kyabo nukwo kutaiba bantu	For a long time he has been in our town, and we have never heard of him.
tuura	to be
atarukusobora kwimuka kutuura omugenyi we; akasaba omuntu ondi aije amutuuze ekigega babagemuliire	who is unable to get up to accommodate his guest; he asks someone else to come and sit him down
tuurra	to be quiet
ebyenju ebyengere muno bitunaa amaarwa	the high walls here give us the scars
tuurra	to be quiet
ekihinzi bakakimutuliirra omubugenyi	a farmer is waiting for a guest
tuurruuma	weeping
omuntu obu ahikaho embwa erukunena igufa; obu ohuurra embwa neetuurruuma	When a dog barks, a person dies; when a dog barks, a person dies
tuuta	small
nibagya klltuuta omusiri ogu baraabyaram11 ebitakuli	they're going to eat more than this mosquito they're going to eat more than this mosquito
tuutuka	when we arrive
obu baamucumikiriire yatuutukira kim11 weena	When they tried to stop him, he got hurt.
tuuya	we are coming
omusana gutuuyisa omuntu obu agukoorraamu emirimo	light illuminates a person when he performs activities
tuuza	ask questions
Omukama obu atuuza omuguta gwe gwnara ebiro mwenda gutakatabaaziibwe; Omukama Kaabaleega akatuuliza Jinja naan1ga omukuzaahisibwa	When the Lord rested his palace was not lit for nine days; the Lord left them and rested Jinja and the holy city
twalikana	refused
twalirirwa	we were destined
ornubingi w'amotoka kutwalirirwa naabinga ky'akabi muno; akatwa/iririrwa ahingwire Kyegegwa	the number of vehicles being driven is more dangerous here; he/she needs to get out of the car
twaliriza	weeping
ornubazi akagunywa mpora natwaliriza yalindwa yagumaramu; orobazo rwe rokamutwaliriza yahinguza esaaha z 'okugamka omuka	a man who drinks whenever he goes to bed is kept awake; a woman who takes him to bed makes it time to get up
twara	to sleep
twarraaniza	we're getting married
twaza	we came
tweka	to be alone
twekera	to give up
twekwa	selfishness
twengekeerra	self-reflection
abaleesi b 'amaizi abamu beetweka ensoha bagitwengekeerraaho akasisi k'amaizi; otunyansi otw 'omuroguudo hagati two	Some fishermen put a sponge on their shoulders and put a drop of water on it; the dirt of the road between the two
tyagira	not
tyagiza	not be discouraged
tyaguza	not sold
tyangya	fear
tyaza	not
tyaza	not
amacumu bagatyaza nukwo galunge obwogi bw'okucumita; akabatanga kutyaliza amacumu gaabo haihyoro lye	They will be thrown into the lake of fire to be burned, and their ashes will be scattered at the bottom of the sea.
tyeruka	do not run away
omuntu libamuha mubazi gwona oruseru rutakatyerokire; obutuzi oburukwera butyen1ka habwokuba bumera kiswa kimu	It gives a person all the white hair before it breaks; the white hair is shorter because it grows only once
tyetyemura	do not become complacent
tyoka	not
itaka erya harusa rw 'enguudo enjura nyingi obu egwa lityoka, Ligwa omuruguudo	The dirt at the side of the road when it rains heavily, falls on the road
tyokora	not working
tyongoza	lead
akaara omuliiso	eyeball
omuti guli	the tree
Vv vanjiri	Vv evangelists
Vi	Children
vikiza	darkened
Sabbunni y'ensaano y 'okwogiisa ebintu	Sabbunni is a greeting
wa	where
akafa nk'omuntu ataina waabu	who dies as a homeless person
wabimbiri	the builder
waihuru	free
waikiriiraha	where did you get it?
waimiri	standing up
Waizikya	Warming up
Wakame	Dry
wakonga	you're not
Wamara	After
wania	whoa
wankuura	you've got me
wansazi	a widow
oturo akwijagiire twawansazi	an offering made by a stranger
weebumbe	the earth's crust
Wceb holeke	Wceb holeke
weesorole	Take care of yourself
Weewe weza	Yes, you are
ebikora muhogo	the nasal passages
ebikora muhogo bya	the nasal passages
omuhendo gwo'muceri gweyongire	increase in the price of rice
tubyara haihi no'rugo	close to home
nitugesa ebicoli kinu	we'll teach you how to cook
akasumi kaba kokugesa kasumi kokusemererwa	a candle is a candle to make you happy
abalimi bakozesa okusesira ebirimwa amaizi omumisiri yabo	Egyptian farmers used water to irrigate their crops
ikozesibwa okurimira	used for farming
okugesa kukolebya hanyuma ye'bimera byezire	try to get rid of it and then plant it
tusegesa oburo okubaganizamu esingo	we shake their necks
okusegesa gugumire mulimo	keep the work going
tusalira omwani nukyo amagesa twongeze	we choose the enemy and that's how we grow
twombera omusiri buli	we're going to pick up the trash
kwihamu ebisaka ebtakwetagibya mumusiri	removing unwanted debris
enkoko zirya ne'bihuka esingo	chickens eat and break the neck
okukama kukorebya emirundi omu kiro	sneezing once a night
marungi hali abana abato	appropriate for young children
ebifu by'ebimera biyongera orwezo mwitaka	the stems of plants increase the strength of the soil
tukora ebifu by'ebimera okuruga mubifu byebimera	we make plant manure from plant manure
tumasa orwezo	giving a helping hand
efuka etweire eyorobya omulimo	it becomes a burden that weighs us down
enengere ehimba emigugu ekuremera	a heavy-duty carrier
uganda etunda omwani maingi	uganda sells a lot of opium
abe'bitebe bagura ebicoli abalimi hali	the farmers are buying corn
tulima oburo omumisiri yaitu	we're planting our own corn
obusera byo'buro bwine	how much time do you have?
omwani kya sente ekyomugaso muno mu uganda	the most valuable coin in uganda
ebiiti bwomwani nibyetaga kubisalira	trees need to be cut down
tugesa hanyuma ya'mezi asaatu	after three months
tugesa ebitakuli hanyuma ya'mezi asaatu	we test the bottles after three months
ente ziriisibya omu rwere	cattle grazing in a pasture
turiisa habye'nyama empunu	we feed them raw meat
turiisa habye'nyama	we feed on the flesh
emiiti etangira okutwarwa	trees begin to be moved
